,Date.Time,Time.x,timeNum,Lat,Lon,Base,Day,Dayofweek.x,Month.x,Year.x,Time.y,newTemp,Dayofweek.y,Month.y,Year.y
41,5/1/2014 3:31,3:31:00,4,40.8276,-73.9454,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
42,5/1/2014 3:44,3:44:00,4,40.7562,-73.9931,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
43,5/1/2014 3:50,3:50:00,4,40.7299,-73.9868,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
44,5/1/2014 3:57,3:57:00,4,40.7762,-73.9499,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
45,5/1/2014 3:58,3:58:00,4,40.7538,-73.9774,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
46,5/1/2014 3:58,3:58:00,4,40.6819,-73.685,B02512,1,Thu,May,2014,3:00:00,54.5099,Thu,May,2014
47,5/1/2014 4:04,4:04:00,5,40.758,-73.9892,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
48,5/1/2014 4:13,4:13:00,5,40.7469,-74.0078,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
49,5/1/2014 4:15,4:15:00,5,40.7663,-73.9916,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
50,5/1/2014 4:17,4:17:00,5,40.7196,-74.0085,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
51,5/1/2014 4:17,4:17:00,5,40.7196,-74.0085,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
52,5/1/2014 4:21,4:21:00,5,40.7852,-73.9712,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
53,5/1/2014 4:24,4:24:00,5,40.7553,-73.9723,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
54,5/1/2014 4:25,4:25:00,5,40.7753,-73.9904,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
55,5/1/2014 4:28,4:28:00,5,40.754,-73.9773,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
56,5/1/2014 4:28,4:28:00,5,40.754,-73.9773,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
57,5/1/2014 4:35,4:35:00,5,40.7572,-73.9625,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
58,5/1/2014 4:41,4:41:00,5,40.7695,-73.9621,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
59,5/1/2014 4:43,4:43:00,5,40.7827,-73.9728,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
60,5/1/2014 4:44,4:44:00,5,40.7656,-73.9629,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
61,5/1/2014 4:51,4:51:00,5,40.7232,-73.5771,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
62,5/1/2014 4:51,4:51:00,5,40.6954,-74.178,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
63,5/1/2014 4:58,4:58:00,5,40.7605,-73.9873,B02512,1,Thu,May,2014,4:00:00,53.405,Thu,May,2014
64,5/1/2014 5:00,5:00:00,6,40.7101,-74.001,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
65,5/1/2014 5:01,5:01:00,6,40.762,-73.982,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
66,5/1/2014 5:05,5:05:00,6,40.7137,-73.9631,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
67,5/1/2014 5:06,5:06:00,6,40.7762,-73.9603,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
68,5/1/2014 5:07,5:07:00,6,40.7521,-73.9813,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
69,5/1/2014 5:08,5:08:00,6,40.7797,-73.9783,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
70,5/1/2014 5:17,5:17:00,6,40.774,-73.9824,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
71,5/1/2014 5:17,5:17:00,6,40.7388,-74.0027,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
72,5/1/2014 5:18,5:18:00,6,40.7781,-73.9749,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
73,5/1/2014 5:21,5:21:00,6,40.7612,-73.9995,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
74,5/1/2014 5:23,5:23:00,6,40.7592,-74.0234,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
75,5/1/2014 5:24,5:24:00,6,40.8895,-73.7939,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
76,5/1/2014 5:27,5:27:00,6,40.7449,-73.9772,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
77,5/1/2014 5:27,5:27:00,6,40.7449,-73.9772,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
78,5/1/2014 5:29,5:29:00,6,40.6951,-74.1784,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
79,5/1/2014 5:30,5:30:00,6,40.7705,-73.9857,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
80,5/1/2014 5:34,5:34:00,6,40.7327,-74.0088,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
81,5/1/2014 5:35,5:35:00,6,40.7985,-73.9729,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
82,5/1/2014 5:36,5:36:00,6,40.7486,-73.9737,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
83,5/1/2014 5:38,5:38:00,6,40.7372,-74.0372,B02512,1,Thu,May,2014,5:00:00,54.6158,Thu,May,2014
